+ Add Milestone,+ ಮೈಲಿಗಲ್ಲು ಸೇರಿಸಿ
You are not an attendee of this appointment,ನೀವು ಈ ಅಪಾಯಿಂಟ್‌ಮೆಂಟ್‌ನ ಹಾಜರಾತಿಯಲ್ಲ
You are not linked to any resource,ನೀವು ಯಾವುದೇ ಸಂಪನ್ಮೂಲಕ್ಕೆ ಸಂಪರ್ಕಿತವಾಗಿಲ್ಲ
You are running the latest version of Orga.,You are running the latest version of Orga.
You can only delete your own comments,ನೀವು ನಿಮ್ಮ ಸ್ವಂತ ಕಾಮೆಂಟ್‌ಗಳನ್ನು ಮಾತ್ರ ಅಳಿಸಬಹುದು
You can only delete your own reactions,ನೀವು ನಿಮ್ಮ ಸ್ವಂತ ಪ್ರತಿಕ್ರಿಯೆಗಳನ್ನು ಮಾತ್ರ ಅಳಿಸಬಹುದು
You do not have access to the client portal. Please contact support.,ನಿಮಗೆ ಕ್ಲೈಂಟ್ ಪೋರ್ಟಲ್‌ಗೆ ಪ್ರವೇಶವಿಲ್ಲ. ದಯವಿಟ್ಟು ಬೆಂಬಲವನ್ನು ಸಂಪರ್ಕಿಸಿ.
You have already reacted with '{0}',ನೀವು ಈಗಾಗಲೇ '{0}' ಜೊತೆ ಪ್ರತಿಕ್ರಿಯಿಸಿದ್ದೀರಿ
You have been assigned to task '{0}' in project '{1}'.,ನಿಮಗೆ ಯೋಜನೆ '{1}' ನಲ್ಲಿ ಕಾರ್ಯ '{0}' ನಿಯೋಜಿಸಲಾಗಿದೆ.
You have been assigned to: {0},ನಿಮಗೆ ನಿಯೋಜಿಸಲಾಗಿದೆ: {0}
You have been invited to the following appointment,ಕೆಳಗಿನ ಅಪಾಯಿಂಟ್‌ಮೆಂಟ್‌ಗೆ ನಿಮ್ಮನ್ನು ಆಹ್ವಾನಿಸಲಾಗಿದೆ
You have no tasks assigned to you right now.,ಈಗ ನಿಮಗೆ ಯಾವುದೇ ಕಾರ್ಯಗಳನ್ನು ನಿಯೋಜಿಸಲಾಗಿಲ್ಲ.
You were mentioned in {0},ನಿಮ್ಮನ್ನು {0} ನಲ್ಲಿ ಉಲ್ಲೇಖಿಸಲಾಗಿದೆ
Your attendance,ನಿಮ್ಮ ಹಾಜರಾತಿ
Your comment has been posted,ನಿಮ್ಮ ಕಾಮೆಂಟ್ ಪೋಸ್ಟ್ ಮಾಡಲಾಗಿದೆ
Your Projects,ನಿಮ್ಮ ಯೋಜನೆಗಳು
Your projects will appear here once they're assigned to you.,ನಿಮಗೆ ನಿಯೋಜಿಸಿದ ನಂತರ ನಿಮ್ಮ ಯೋಜನೆಗಳು ಇಲ್ಲಿ ಕಾಣಿಸುತ್ತವೆ.
Your Response,ನಿಮ್ಮ ಪ್ರತಿಕ್ರಿಯೆ
Your RSVP,ನಿಮ್ಮ RSVP
Your support request has been submitted successfully.,ನಿಮ್ಮ ಬೆಂಬಲ ವಿನಂತಿಯನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಸಲ್ಲಿಸಲಾಗಿದೆ.
Your support request has been submitted successfully. We'll get back to you shortly.,ನಿಮ್ಮ ಬೆಂಬಲ ವಿನಂತಿಯನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಸಲ್ಲಿಸಲಾಗಿದೆ. ನಾವು ಶೀಘ್ರದಲ್ಲೇ ನಿಮ್ಮೊಂದಿಗೆ ಸಂಪರ್ಕಿಸುತ್ತೇವೆ.
"Your task ""{0}"" is no longer blocked and can now be started.","ನಿಮ್ಮ ಕಾರ್ಯ ""{0}"" ಇನ್ನು ಮುಂದೆ ನಿರ್ಬಂಧಿತವಾಗಿಲ್ಲ ಮತ್ತು ಈಗ ಪ್ರಾರಂಭಿಸಬಹುದು."
{0} is required,{0} ಅಗತ್ಯ
{0} new activities,{0} ಹೊಸ ಚಟುವಟಿಕೆಗಳು
{0} of {1} completed,{0} / {1} ಪೂರ್ಣಗೊಂಡಿದೆ
{0} projects already migrated (will be skipped or updated),{0} ಯೋಜನೆಗಳನ್ನು ಈಗಾಗಲೇ ವರ್ಗಾಯಿಸಲಾಗಿದೆ (ಬಿಟ್ಟುಬಿಡಲಾಗುತ್ತದೆ ಅಥವಾ ನವೀಕರಿಸಲಾಗುತ್ತದೆ)
{0} status changed to {1},{0} ಸ್ಥಿತಿಯನ್ನು {1} ಗೆ ಬದಲಾಯಿಸಲಾಗಿದೆ
{0} tasks remaining,{0} ಕಾರ್ಯಗಳು ಉಳಿದಿವೆ
{0} tasks without projects will be skipped,ಯೋಜನೆಗಳಿಲ್ಲದ {0} ಕಾರ್ಯಗಳನ್ನು ಬಿಟ್ಟುಬಿಡಲಾಗುತ್ತದೆ
{0} {1} not found,{0} {1} ಕಂಡುಬಂದಿಲ್ಲ
